"run","plan","response","receivedAtMs","socketGeneration","globalRegionEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"1","","82","72474","1","68320.003","68320.003","742","720","75","false","false"
"1","","83","72491","1","68760.0055","68760.0055","342","280","92","true","true"
"1","","84","73321","1","69760","69760","73","80","73","false","false"
"1","","85","74429","1","70800.001","70800.001","81","160","0","false","false"
"1","","86","74691","1","70969.999","70969.999","176","230","10","true","true"
"1","","87","75672","1","71999.9988","71999.9988","73","80","73","false","false"
"1","","88","76760","1","73039.9997","73039.9997","79","80","79","false","false"
"1","","89","77866","1","74080.0006","74080.0006","84","160","1","false","false"
"1","","90","78963","1","75120.0015","75120.0015","97","160","12","false","false"
"1","","91","79555","1","75679.999","75679.999","107","160","23","false","false"
"1","","92","81832","1","75730.00200000001","75730.00200000001","2384","2270","50","true","false"
"1","","93","81839","1","76249.99664","76249.99664","1807","1750","57","true","true"
"1","","94","82052","1","77279.9988","77279.9988","940","960","20","false","false"
"1","","95","82291","1","78319.9997","78319.9997","94","160","9","false","false"
"1","","96","83528","1","79360.0006","79360.0006","244","240","79","false","false"
"1","","97","83552","1","79519.9966","79519.9966","103","160","3","false","false"
"1","","98","83781","1","79680.0003","79680.0003","149","160","65","false","false"
"1","","99","84807","1","80720.001","80720.001","92","160","9","false","false"
"1","","100","85393","1","79510.0021","80720.001","2025","720","15","true","false"
"1","","101","85399","1","81279.9966","81279.9966","101","160","21","false","false"
"1","","102","86442","1","82319.9976","82319.9976","70","80","70","false","false"
"1","","103","87556","1","83359.9985","83359.9985","91","160","8","false","false"
"1","","104","87875","1","83639.9973","83639.9973","161","120","77","true","true"
"1","","105","88885","1","84640","84640","70","80","70","false","false"
"1","","106","89966","1","85680.001","85680.001","68","80","68","false","false"
"1","","107","91057","1","86720.0018","86720.0018","75","80","75","false","false"
"1","","108","91978","1","87559.9982","87559.9982","164","200","0","true","true"
"2","","1","1135","2","1040","1040","47","80","47","false","false"
"2","","2","2249","2","2080","2080","69","80","68","false","false"
"2","","3","4366","2","3120","3120","1095","1120","13","false","false"
"2","","4","4962","2","4160","4160","609","640","24","false","false"
"2","","5","5010","2","4530","4530","322","270","73","true","true"
"2","","6","5939","2","5599.9997","5599.9997","67","80","66","false","false"
"2","","7","7009","2","6639.9997","6639.9997","38","80","38","false","false"
"2","","8","8095","2","7679.9996","7679.9996","40","80","40","false","false"
"2","","9","9193","2","8720","8720","57","80","58","false","false"
"2","","10","10103","2","8720","8720","968","960","50","true","false"
"2","","11","10264","2","9760","9760","43","80","42","false","false"
"2","","12","11376","2","10800","10800","55","80","55","false","false"
"2","","13","12604","2","11970","11970","115","110","32","true","true"
"2","","14","13703","2","13039.9997","13039.9997","48","80","49","false","false"
"2","","15","14798","2","14079.9997","14079.9997","59","80","59","false","false"
"2","","16","15206","2","14479.9993","14479.9993","51","80","51","false","false"
"2","","17","16292","2","15520.0002","15520.0002","53","80","53","false","false"
"2","","18","17372","2","16559.999","16559.999","50","80","50","false","false"
"2","","19","17894","2","16249.9997","16559.999","905","560","55","true","false"
"2","","20","18117","2","17280.0007","17280.0007","29","80","28","false","false"
"2","","21","18380","2","17520.000500000002","17520.000500000002","42","80","41","false","false"
"2","","22","19467","2","18559.999499999998","18559.999499999998","45","80","45","false","false"
"2","","23","20579","2","19600.0004","19600.0004","74","80","73","false","false"
"2","","24","21638","2","20639.9994","20639.9994","49","80","49","false","false"
"2","","25","22327","2","20319.9997","20639.9994","1074","720","71","true","false"
"2","","26","22382","2","21360.0009","21360.0009","45","80","46","false","false"
"2","","27","23136","2","22080.0002","22080.0002","48","80","48","false","false"
"2","","28","24231","2","23120.0011","23120.0011","59","80","59","false","false"
"2","","29","25331","2","24160.0002","24160.0002","76","80","76","false","false"
"2","","30","25993","2","24760.000500000002","24760.000500000002","138","120","55","true","true"
"2","","31","26975","2","25760","25760","20","80","20","false","false"
"2","","32","27539","2","26079.9997","26079.9997","250","320","0","true","true"
"2","","33","29962","2","27120.0009","27120.0009","1590","1600","7","false","false"
"2","","34","30653","2","28160","28160","1198","1200","29","false","false"
"2","","35","30811","2","28959.9992","28959.9992","522","560","24","true","true"
"2","","36","31431","2","30000.0009","30000.0009","59","80","59","false","false"
"2","","37","32513","2","31040.0018","31040.0018","44","80","44","false","false"
"2","","38","33614","2","32080.0027","32080.0027","59","80","59","false","false"
"2","","39","34686","2","33120","33120","47","80","46","false","false"
"2","","40","35626","2","33930.001000000004","33930.001000000004","154","150","71","true","false"
"2","","41","36633","2","34959.9988","34959.9988","62","80","62","false","false"
"2","","42","37700","2","35999.9997","35999.9997","45","80","45","false","false"
"2","","43","38799","2","37040.0006","37040.0006","59","80","59","false","false"
"2","","44","39914","2","38080.0015","38080.0015","91","160","8","false","false"
"2","","45","40805","2","37700.0005","38080.0015","1400","960","65","true","false"
"2","","46","40822","2","38959.9983","38959.9983","82","80","81","false","false"
"2","","47","41903","2","39999.9992","39999.9992","64","80","64","false","false"
"2","","48","42728","2","40779.998","40779.998","139","100","55","true","true"
"2","","49","43820","2","41840.0014","41840.0014","65","80","65","false","false"
"2","","50","44883","2","42880.0023","42880.0023","44","80","44","false","false"
"2","","51","45990","2","43919.9994","43919.9994","67","80","67","false","false"
"2","","52","47060","2","44960.0003","44960.0003","53","80","53","false","false"
"2","","53","47653","2","45520.0017","45520.0017","63","80","63","false","false"
"2","","54","47818","2","45669.9994","45669.9994","148","90","62","true","true"
"2","","55","48871","2","46720.003","46720.003","32","80","31","false","false"
"2","","56","49911","2","47680.0021","47680.0021","72","80","72","false","false"
"2","","57","50984","2","48720.003","48720.003","44","80","44","false","false"
"2","","58","52088","2","49760","49760","66","80","66","false","false"
"2","","59","52993","2","50080.0037","50080.0037","637","640","53","false","false"
"2","","60","54203","2","50010","50080.0037","1931","1840","17","true","false"
"2","","61","54247","2","51040.0026","51040.0026","891","880","61","false","false"
"2","","62","54292","2","51220.0029","51220.0029","769","780","19","true","true"
"2","","63","54649","2","52240.0005","52240.0005","42","80","41","false","false"
"2","","64","55728","2","53279.9976","53279.9976","39","80","39","false","false"
"2","","65","56817","2","54319.9985","54319.9985","45","80","45","false","false"
"2","","66","57910","2","55359.9994","55359.9994","51","80","51","false","false"
"2","","67","58847","2","56189.9974","56189.9974","158","130","74","true","false"
"2","","68","59813","2","57200.0021","57200.0021","40","80","40","false","false"
"2","","69","60577","2","57919.9995","57919.9995","54","80","53","false","false"
"2","","70","61660","2","58960.0005","58960.0005","53","80","53","false","false"
"2","","71","62850","2","60080.0032","60080.0032","80","80","80","false","false"
"2","","72","63682","2","60880.0024","60880.0024","75","80","75","false","false"
"2","","73","64013","2","59780.0002","60880.0024","1574","400","66","true","false"
"2","","74","64027","2","61200.002","61200.002","80","80","80","false","false"
"2","","75","65085","2","62240.003","62240.003","45","80","45","false","false"
"2","","76","66221","2","63280","63280","84","160","0","false","false"
"2","","77","67050","2","64019.998","64019.998","160","140","76","true","true"
"2","","78","68023","2","65040.00429999999","65040.00429999999","33","80","33","false","false"
"2","","79","69121","2","66080.0052","66080.0052","48","80","48","false","false"
"2","","80","70219","2","67120.006","67120.006","63","80","63","false","false"
"2","","81","71308","2","68160.007","68160.007","71","80","71","false","false"
"2","","82","71450","2","68320.003","68320.003","43","80","44","false","false"
"2","","83","71976","2","68760.0055","68760.0055","153","120","72","true","true"
"2","","84","72952","2","69760","69760","46","80","46","false","false"
"2","","85","74038","2","70800.001","70800.001","48","80","47","false","false"
"2","","86","74295","2","70969.999","70969.999","139","150","56","true","true"
"2","","87","75292","2","71999.9988","71999.9988","52","80","52","false","false"
"2","","88","76391","2","73039.9997","73039.9997","67","80","66","false","false"
"2","","89","77508","2","74080.0006","74080.0006","86","160","2","false","false"
"2","","90","78883","2","75120.0015","75120.0015","377","400","43","false","false"
"2","","91","79142","2","75679.999","75679.999","52","80","52","false","false"
"2","","92","79517","2","75730.00200000001","75730.00200000001","427","430","9","true","false"
"2","","93","79799","2","76249.99664","76249.99664","125","150","44","true","true"
"2","","94","80814","2","77279.9988","77279.9988","41","80","41","false","false"
"2","","95","81913","2","78319.9997","78319.9997","56","80","57","false","false"
"2","","96","83004","2","79360.0006","79360.0006","64","80","64","false","false"
"2","","97","83160","2","79519.9966","79519.9966","52","80","53","false","false"
"2","","98","83346","2","79680.0003","79680.0003","72","80","72","false","false"
"2","","99","84435","2","80720.001","80720.001","79","80","79","false","false"
"2","","100","85020","2","79510.0021","80720.001","1996","640","73","true","false"
"2","","101","85035","2","81279.9966","81279.9966","88","80","87","false","false"
"2","","102","86081","2","82319.9976","82319.9976","40","80","40","false","false"
"2","","103","87155","2","83359.9985","83359.9985","31","80","31","false","false"
"2","","104","87507","2","83639.9973","83639.9973","133","120","49","true","true"
"2","","105","88482","2","84640","84640","25","80","24","false","false"
"2","","106","89594","2","85680.001","85680.001","56","80","56","false","false"
"2","","107","90667","2","86720.0018","86720.0018","45","80","45","false","false"
"2","","108","91611","2","87559.9982","87559.9982","140","120","54","true","true"
"3","","1","1145","3","1040","1040","56","80","55","false","false"
"3","","2","2235","3","2080","2080","61","80","62","false","false"
"3","","3","3337","3","3120","3120","64","80","64","false","false"
"3","","4","4429","3","4160","4160","73","80","72","false","false"
"3","","5","4854","3","4530","4530","165","190","0","true","true"
"3","","6","5937","3","5599.9997","5599.9997","80","80","81","false","false"
"3","","7","7321","3","6639.9997","6639.9997","381","400","48","false","false"
"3","","8","8092","3","7679.9996","7679.9996","69","80","69","false","false"
"3","","9","9197","3","8720","8720","89","160","6","false","false"
"3","","10","10114","3","8720","8720","1007","1040","8","true","false"
"3","","11","10258","3","9760","9760","68","80","68","false","false"
"3","","12","11338","3","10800","10800","65","80","64","false","false"
"3","","13","12619","3","11970","11970","178","190","13","true","true"
"3","","14","13675","3","13039.9997","13039.9997","69","80","69","false","false"
"3","","15","14775","3","14079.9997","14079.9997","87","160","1","false","false"
"3","","16","15184","3","14479.9993","14479.9993","78","80","77","false","false"
"3","","17","16284","3","15520.0002","15520.0002","77","80","77","false","false"
"3","","18","17398","3","16559.999","16559.999","96","160","9","false","false"
"3","","19","17884","3","16249.9997","16559.999","910","560","77","true","false"
"3","","20","18143","3","17280.0007","17280.0007","69","80","69","false","false"
"3","","21","18399","3","17520.000500000002","17520.000500000002","75","80","75","false","false"
"3","","22","19495","3","18559.999499999998","18559.999499999998","71","80","71","false","false"
"3","","23","20595","3","19600.0004","19600.0004","89","160","6","false","false"
"3","","24","21674","3","20639.9994","20639.9994","84","160","0","false","false"
"3","","25","22348","3","20319.9997","20639.9994","1092","800","8","true","false"
"3","","26","22405","3","21360.0009","21360.0009","65","80","64","false","false"
"3","","27","23173","3","22080.0002","22080.0002","82","160","1","false","false"
"3","","28","24255","3","23120.0011","23120.0011","82","160","0","false","false"
"3","","29","25355","3","24160.0002","24160.0002","98","160","16","false","false"
"3","","30","26007","3","24760.000500000002","24760.000500000002","168","200","1","true","true"
"3","","31","26999","3","25760","25760","77","80","77","false","false"
"3","","32","27409","3","26079.9997","26079.9997","152","160","70","true","true"
"3","","33","28467","3","27120.0009","27120.0009","111","160","28","false","false"
"3","","34","29525","3","28160","28160","85","160","1","false","false"
"3","","35","30428","3","28959.9992","28959.9992","156","160","71","true","true"
"3","","36","32366","3","30000.0009","30000.0009","1009","1040","9","false","false"
"3","","37","32655","3","31040.0018","31040.0018","215","240","51","false","false"
"3","","38","33615","3","32080.0027","32080.0027","74","80","74","false","false"
"3","","39","34748","3","33120","33120","91","160","10","false","false"
"3","","40","35669","3","33930.001000000004","33930.001000000004","178","230","11","true","false"
"3","","41","36646","3","34959.9988","34959.9988","76","80","76","false","false"
"3","","42","37741","3","35999.9997","35999.9997","84","160","0","false","false"
"3","","43","38816","3","37040.0006","37040.0006","76","80","76","false","false"
"3","","44","39951","3","38080.0015","38080.0015","110","160","26","false","false"
"3","","45","40866","3","37700.0005","38080.0015","1452","1040","25","true","false"
"3","","46","40876","3","38959.9983","38959.9983","119","160","36","false","false"
"3","","47","41927","3","39999.9992","39999.9992","87","160","4","false","false"
"3","","48","42782","3","40779.998","40779.998","191","180","26","true","true"
"3","","49","43826","3","41840.0014","41840.0014","68","80","68","false","false"
"3","","50","44911","3","42880.0023","42880.0023","73","80","73","false","false"
"3","","51","46037","3","43919.9994","43919.9994","113","160","29","false","false"
"3","","52","47101","3","44960.0003","44960.0003","76","80","76","false","false"
"3","","53","47734","3","45520.0017","45520.0017","100","160","16","false","false"
"3","","54","47887","3","45669.9994","45669.9994","170","170","0","true","true"
"3","","55","48961","3","46720.003","46720.003","70","80","70","false","false"
"3","","56","49981","3","47680.0021","47680.0021","90","160","6","false","false"
"3","","57","51065","3","48720.003","48720.003","74","80","73","false","false"
"3","","58","52147","3","49760","49760","73","80","73","false","false"
"3","","59","52488","3","50080.0037","50080.0037","81","160","0","false","false"
"3","","60","53150","3","50010","50080.0037","826","720","76","true","false"
"3","","61","53492","3","51040.0026","51040.0026","84","160","0","false","false"
"3","","62","53738","3","51220.0029","51220.0029","164","140","80","true","true"
"3","","63","54744","3","52240.0005","52240.0005","70","80","70","false","false"
"3","","64","55835","3","53279.9976","53279.9976","77","80","77","false","false"
"3","","65","57417","3","54319.9985","54319.9985","560","560","60","false","false"
"3","","66","58554","3","55359.9994","55359.9994","623","640","42","false","false"
"3","","67","59265","3","56189.9974","56189.9974","509","530","7","true","false"
"3","","68","60985","3","57200.0021","57200.0021","1143","1120","60","false","false"
"3","","69","61000","3","57919.9995","57919.9995","408","400","75","false","false"
"3","","70","61781","3","58960.0005","58960.0005","89","160","7","false","false"
"3","","71","62973","3","60080.0032","60080.0032","115","160","33","false","false"
"3","","72","63797","3","60880.0024","60880.0024","106","160","22","false","false"
"3","","73","64120","3","59780.0002","60880.0024","1596","480","12","true","false"
"3","","74","64133","3","61200.002","61200.002","109","160","25","false","false"
"3","","75","65211","3","62240.003","62240.003","102","160","20","false","false"
"3","","76","66286","3","63280","63280","95","160","12","false","false"
"3","","77","67129","3","64019.998","64019.998","187","220","20","true","true"
"3","","78","68094","3","65040.00429999999","65040.00429999999","69","80","70","false","false"
